Location ID,Site,Ecosystem,Transect,Fetch,Wave Height E,Wave Height NE,Wave Height SE,Air Temp,Sea Temp,Canopy Cover,Stem Density,Sediment,Turbidity,DBH,Seagrass,Seagrass Cover,Wrack,Rhizophora
4,Boondall,Live Mangrove,1,40.39,0.0630743,0.111066,0.00204439,19.6,24.14,52,35,123.733,33.8,10.24002905,0,0,0,0
4,Boondall,Live Mangrove,2,40.39,0.0630743,0.111066,0.00204439,19.1,24.14,58.76,39,102.853,33.8,5.229831436,0,0,0,0
4,Boondall,Live Mangrove,3,40.39,0.0630743,0.111066,0.00204439,18.6,24.14,74.36,40,108.097,33.8,5.707296266,0,0,0,0
4,Boondall,Dead Mangrove,1,40.39,0.0630743,0.111066,0.00204439,25.2,29.17,29.5,21,78.152,24.4,9.501550113,0,0,0,0
4,Boondall,Dead Mangrove,2,40.39,0.0630743,0.111066,0.00204439,21.6,29.17,2.5,67,74.098,24.4,5.398535676,0,0,0,0
4,Boondall,Dead Mangrove,3,40.39,0.0630743,0.111066,0.00204439,24,29.17,1.5,30,69.954,24.4,5.178901854,0,0,0,0
4,Boondall,Seagrass,1,40.39,0.0630743,0.111066,0.00204439,23.1,26.6,0,0,131.063,15.5,0,1,32.36,0,0
4,Boondall,Seagrass,2,40.39,0.0630743,0.111066,0.00204439,23.3,26.6,0,0,140.704,15.5,0,1,17.27,0,0
4,Boondall,Seagrass,3,40.39,0.0630743,0.111066,0.00204439,23.2,26.6,0,0,126.52,15.5,0,1,37.27,0,0
5,Amity Point,Live Mangrove,1,48.71,0.105341,0.103621,0.0584972,16.2,20.38,82,28,253.236,1.8,7.623521783,1,0.05,1,1
5,Amity Point,Live Mangrove,2,48.71,0.105341,0.103621,0.0584972,19.6,20.38,91,52,251.341,1.8,6.98690201,0,0,1,1
5,Amity Point,Live Mangrove,3,48.71,0.105341,0.103621,0.0584972,17.6,20.38,88.5,50,219.199,1.8,6.238873776,0,0,1,1
5,Amity Point,Dead Mangrove,1,48.71,0.105341,0.103621,0.0584972,16.5,19.92,10.5,32,294.322,128,5.573606113,0,0,1,1
5,Amity Point,Dead Mangrove,2,48.71,0.105341,0.103621,0.0584972,17.2,19.92,14.5,54,301.108,128,14.2984801,0,0,1,1
5,Amity Point,Dead Mangrove,3,48.71,0.105341,0.103621,0.0584972,21,19.92,14.5,24,294.134,128,8.766254276,0,0,1,1
5,Amity Point,Seagrass,1,48.71,0.105341,0.103621,0.0584972,18.2,17.71,0,0,250.716,2.8,0,1,14.09,0,0
5,Amity Point,Seagrass,2,48.71,0.105341,0.103621,0.0584972,18.1,17.71,0,0,275.553,2.8,0,1,23.18,0,0
5,Amity Point,Seagrass,3,48.71,0.105341,0.103621,0.0584972,18.3,17.71,0,0,202.353,2.8,0,1,19.63,0,0
6,South Stradbroke,Live Mangrove,1,5.9,0.105341,0.103621,0.0584972,19.4,23.02,81.5,23,294.757,13.6,15.63856473,0,0,1,1
6,South Stradbroke,Live Mangrove,2,5.9,0.105341,0.103621,0.0584972,19.1,23.02,84,23,35.174,13.6,12.00028272,0,0,1,1
6,South Stradbroke,Live Mangrove,3,5.9,0.105341,0.103621,0.0584972,19.1,23.02,77.5,19,40.725,13.6,14.13932516,0,0,1,1
6,South Stradbroke,Dead Mangrove,1,5.9,0.105341,0.103621,0.0584972,19.5,17.25,5.5,4,313.134,5.9,7.146056953,1,39.67,1,1
6,South Stradbroke,Dead Mangrove,2,5.9,0.105341,0.103621,0.0584972,19.4,17.25,10.5,20,317.883,5.9,12.53822643,0,0,1,1
6,South Stradbroke,Dead Mangrove,3,5.9,0.105341,0.103621,0.0584972,19.8,17.25,0.5,7,40.965,5.9,16.32611408,1,4.67,1,1
6,South Stradbroke,Seagrass,1,5.9,0.105341,0.103621,0.0584972,19.9,20.19,0,0,284.203,19.2,0,1,40.45454545,0,0
6,South Stradbroke,Seagrass,2,5.9,0.105341,0.103621,0.0584972,19.7,20.19,0,0,295.063,19.2,0,1,29.09090909,0,0
6,South Stradbroke,Seagrass,3,5.9,0.105341,0.103621,0.0584972,19.5,20.19,0,0,224.267,19.2,0,1,53.18181818,0,0
